ID,year,loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,Status,dtir1
92887,2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,556500,5.5,0.652,0,360,not_neg,not_int,not_lpsm,1208000,sb,ir,home,1U,7380,CIB,842,CIB,55-64,not_inst,46.06788079,North,direct,0,48
125286,2019,cf,Male,nopre,type3,p4,l1,nopc,nob/c,156500,,,,360,not_neg,not_int,not_lpsm,178000,sb,pr,home,1U,,EXP,646,CIB,45-54,to_inst,87.92134831,south,direct,1,
167559,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,396500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,9600,EQUI,838,EXP,35-44,to_inst,,south,direct,1,
39078,2019,cf,Sex Not Available,nopre,type3,p3,l1,nopc,nob/c,246500,3.49,0.2414,7419.72,360,not_neg,not_int,not_lpsm,258000,sb,pr,home,1U,5160,CIB,509,EXP,35-44,to_inst,95.54263566,south,direct,0,51
156591,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,166500,4.25,0.8059,3140,360,not_neg,not_int,not_lpsm,288000,sb,pr,home,1U,2460,EXP,611,EXP,65-74,to_inst,57.8125,North,direct,0,35
164127,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,126500,4.99,1.0148,1150,360,neg_amm,not_int,not_lpsm,198000,sb,ir,home,1U,8340,EXP,760,EXP,55-64,to_inst,63.88888889,south,direct,0,43
103122,2019,cf,Sex Not Available,nopre,type2,p3,l1,nopc,b/c,196500,3.99,1.2066,2250.54,360,not_neg,not_int,not_lpsm,228000,sb,pr,home,1U,4860,CRIF,750,EXP,45-54,to_inst,86.18421053,south,direct,0,55
86363,2019,cf,Female,nopre,type1,p1,l2,nopc,nob/c,436500,3.99,-0.2051,1109.4,360,not_neg,not_int,not_lpsm,548000,sb,pr,home,1U,4380,CIB,530,CIB,65-74,not_inst,79.65328467,south,direct,0,43
95865,2019,ncf,Female,nopre,type1,p3,l1,nopc,nob/c,366500,4.5,0.6582,326.83,360,not_neg,not_int,not_lpsm,548000,sb,pr,home,1U,5580,EXP,679,CIB,55-64,not_inst,66.87956204,central,direct,0,48
96821,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,196500,3.99,0.4014,3950,324,not_neg,not_int,not_lpsm,258000,sb,pr,home,1U,3420,CIB,734,CIB,>74,to_inst,76.1627907,south,direct,0,37
118241,2019,cf,Joint,pre,type1,p1,l1,nopc,nob/c,366500,,,,360,not_neg,not_int,not_lpsm,388000,sb,pr,home,1U,8100,CIB,723,EXP,25-34,not_inst,94.45876289,North,direct,1,20
121121,2019,cf,Joint,nopre,type1,p1,l1,nopc,nob/c,366500,3.875,-0.2406,202.28,360,not_neg,not_int,not_lpsm,378000,sb,pr,home,1U,6420,CIB,736,EXP,35-44,not_inst,96.95767196,North,direct,0,23
38120,2019,cf,Female,nopre,type1,p3,l2,nopc,nob/c,596500,4.25,-0.1127,5819.1,360,not_neg,not_int,not_lpsm,1218000,sb,pr,home,1U,7800,CIB,705,CIB,65-74,not_inst,48.97372742,North,direct,0,42
152412,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,306500,,,,144,not_neg,not_int,not_lpsm,,sb,pr,home,1U,7200,EQUI,880,EXP,45-54,to_inst,,south,direct,1,
133789,2019,cf,Male,nopre,type2,p3,l1,nopc,b/c,236500,3.875,0.9783,1936,360,not_neg,not_int,not_lpsm,318000,sb,pr,home,1U,4140,CIB,729,CIB,35-44,to_inst,74.37106918,North,direct,0,40
133880,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,406500,,,,360,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,7380,EQUI,886,EXP,25-34,not_inst,,North,direct,1,
34600,2019,cf,Sex Not Available,nopre,type2,p3,l1,nopc,b/c,406500,4.875,0.9057,2976.96,360,not_neg,not_int,not_lpsm,498000,sb,pr,home,1U,5100,EXP,830,CIB,55-64,to_inst,81.62650602,south,direct,0,48
80970,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,536500,3.99,0.1852,1920.58,360,not_neg,not_int,not_lpsm,788000,sb,pr,home,1U,10500,EXP,781,EXP,25-34,to_inst,68.08375635,south,direct,0,33
120538,2019,cf,Joint,pre,type1,p1,l1,nopc,nob/c,376500,4.25,-0.0963,,360,not_neg,not_int,not_lpsm,468000,sb,pr,home,1U,8880,CRIF,569,EXP,55-64,not_inst,80.44871795,North,direct,0,30
38599,2019,cf,Male,pre,type1,p3,l1,nopc,nob/c,246500,3.875,0.2015,4682.16,360,not_neg,not_int,not_lpsm,458000,sb,pr,home,1U,4380,EXP,804,CIB,55-64,not_inst,53.8209607,North,direct,0,20
98675,2019,cf,Female,nopre,type1,p1,l1,nopc,nob/c,226500,,,,360,not_neg,int_only,not_lpsm,268000,sb,pr,home,1U,3420,EXP,731,CIB,45-54,not_inst,84.51492537,North,direct,1,39
159746,2019,cf,Joint,pre,type1,p1,l1,nopc,nob/c,126500,4.375,0.6866,3609.35,360,not_neg,not_int,not_lpsm,168000,sb,pr,home,1U,2400,EXP,514,EXP,>74,to_inst,75.29761905,North,direct,0,42
117509,2019,cf,Joint,nopre,type2,p4,l1,nopc,b/c,196500,3.49,0.7184,0,360,not_neg,not_int,not_lpsm,248000,sb,pr,home,1U,,CRIF,563,EXP,35-44,to_inst,79.23387097,North,direct,0,
63181,2019,ncf,Joint,nopre,type1,p3,l1,nopc,nob/c,216500,4.5,0.5656,3477.5,360,not_neg,not_int,not_lpsm,368000,sb,pr,home,1U,2640,CIB,559,EXP,55-64,to_inst,58.83152174,North,direct,0,30
159305,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,196500,3.75,0.7252,2458.78,240,not_neg,not_int,not_lpsm,388000,sb,pr,home,1U,6540,CIB,782,EXP,55-64,to_inst,50.6443299,North,direct,0,15
106212,2019,cf,Joint,nopre,type2,p3,l1,nopc,b/c,176500,,,,360,not_neg,not_int,not_lpsm,188000,sb,pr,home,1U,9120,EXP,737,EXP,45-54,to_inst,93.88297872,North,direct,1,33
143242,2019,cf,Sex Not Available,nopre,type3,p4,l1,nopc,nob/c,256500,2.75,-0.8434,4295.29,360,not_neg,not_int,not_lpsm,488000,sb,pr,home,1U,,CIB,641,EXP,65-74,to_inst,52.56147541,south,direct,0,
122500,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,516500,3.69,0.0022,0,360,not_neg,not_int,not_lpsm,868000,sb,pr,home,1U,13080,EXP,538,EXP,45-54,not_inst,59.50460829,North,direct,0,20
28102,2019,cf,Female,nopre,type2,p4,l1,nopc,b/c,266500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,5580,EQUI,886,EXP,65-74,not_inst,,central,direct,1,
92860,2019,cf,Male,nopre,type2,p1,l1,nopc,b/c,176500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,3480,EQUI,571,EXP,25-34,to_inst,,south,direct,1,
41241,2019,cf,Sex Not Available,pre,type1,p1,l1,nopc,nob/c,206500,3.75,0.3669,7273.7,360,not_neg,not_int,not_lpsm,208000,sb,pr,home,1U,4380,EXP,594,CIB,35-44,to_inst,99.27884615,south,direct,0,22
81122,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,126500,3.99,0.8895,3773.5,180,not_neg,not_int,not_lpsm,248000,sb,pr,home,1U,2940,EXP,713,CIB,55-64,to_inst,51.00806452,south,direct,0,20
132599,2019,cf,Sex Not Available,nopre,type2,p1,l1,nopc,b/c,366500,4.25,1.5904,4987.34,360,not_neg,not_int,not_lpsm,378000,sb,pr,home,1U,8520,EXP,873,CIB,55-64,to_inst,96.95767196,south,direct,0,40
120122,2019,cf,Female,nopre,type1,p3,l2,nopc,nob/c,116500,4.75,1.4181,3232.5,180,not_neg,not_int,not_lpsm,178000,sb,pr,home,1U,3360,CIB,880,CIB,55-64,to_inst,65.4494382,North,direct,0,20
131535,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,326500,4.25,0.5986,3167.19,180,not_neg,not_int,not_lpsm,418000,sb,pr,home,1U,11040,EXP,769,CIB,55-64,to_inst,78.11004785,central,direct,0,49
154512,2019,cf,Male,nopre,type2,p3,l1,nopc,b/c,236500,,,,360,not_neg,not_int,not_lpsm,278000,sb,pr,home,1U,4140,CIB,678,CIB,45-54,to_inst,85.07194245,North,direct,1,42
91831,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,196500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,5400,EQUI,788,EXP,35-44,to_inst,,south,direct,1,
48220,2019,cf,Joint,nopre,type1,p1,l1,nopc,nob/c,656500,,,,360,not_neg,not_int,lpsm,738000,sb,pr,home,1U,12660,CRIF,793,EXP,25-34,not_inst,88.95663957,south,direct,1,42
151724,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,226500,4.56,0.5254,1150,360,not_neg,not_int,not_lpsm,298000,sb,pr,home,1U,6840,EXP,581,EXP,65-74,to_inst,76.00671141,North,direct,0,37
97961,2019,cf,Sex Not Available,pre,type1,p1,l1,nopc,nob/c,146500,4.75,0.9727,3960,360,not_neg,not_int,not_lpsm,168000,sb,pr,home,1U,5580,CIB,749,EXP,35-44,to_inst,87.20238095,south,direct,0,48
96029,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,216500,4.625,0.5835,1677.5,360,neg_amm,not_int,not_lpsm,378000,sb,pr,home,1U,6360,CIB,763,EXP,65-74,to_inst,57.27513228,North,direct,0,37
149456,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,286500,3.5,0.478,5515.09,240,not_neg,not_int,not_lpsm,458000,sb,pr,home,1U,6060,EXP,809,EXP,45-54,to_inst,62.55458515,south,direct,0,20
127882,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,216500,,,,360,not_neg,int_only,not_lpsm,368000,sb,pr,home,1U,3420,CRIF,831,CIB,25-34,not_inst,58.83152174,North,direct,1,23
125064,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,336500,3.25,-0.3432,8642,360,not_neg,not_int,not_lpsm,428000,sb,pr,home,1U,3240,CIB,830,CIB,35-44,to_inst,78.62149533,North,direct,0,49
79767,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,196500,4.75,1.1727,4235,360,not_neg,not_int,not_lpsm,248000,sb,pr,home,1U,2280,CRIF,873,CIB,55-64,to_inst,79.23387097,North,direct,0,48
120981,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,176500,3.625,0.6962,4047.02,240,not_neg,not_int,not_lpsm,308000,sb,sr,home,1U,9300,CIB,826,CIB,45-54,to_inst,57.30519481,south,direct,0,42
85526,2019,cf,Sex Not Available,nopre,type2,p3,l1,nopc,b/c,146500,4.375,0.6709,1428,360,neg_amm,not_int,not_lpsm,168000,sb,pr,home,1U,2340,CRIF,755,CIB,55-64,to_inst,87.20238095,south,direct,0,44
43257,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,226500,4.99,0.6611,1993,360,not_neg,not_int,not_lpsm,288000,sb,pr,home,1U,4920,CRIF,663,CIB,55-64,to_inst,78.64583333,North,direct,0,41
45964,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,76500,3.99,1.4888,2831.25,180,not_neg,not_int,not_lpsm,138000,sb,pr,home,1U,11820,EXP,838,EXP,65-74,to_inst,55.43478261,North,direct,0,24
52190,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,336500,4.56,0.8011,3880,360,not_neg,not_int,not_lpsm,428000,sb,pr,home,1U,7560,CRIF,619,EXP,25-34,not_inst,78.62149533,North,direct,0,40
35510,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,226500,4.99,0.6915,3350,360,neg_amm,not_int,not_lpsm,278000,sb,pr,home,1U,5760,EXP,581,CIB,25-34,to_inst,81.47482014,south,direct,0,30
147013,2019,ncf,Joint,pre,type1,p4,l1,nopc,nob/c,366500,3.99,0.3723,6680.98,360,not_neg,not_int,not_lpsm,518000,sb,pr,home,1U,3540,CRIF,503,EXP,55-64,to_inst,70.75289575,central,direct,0,46
36727,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,326500,3.375,0.4885,6863.69,168,not_neg,int_only,not_lpsm,518000,sb,pr,home,1U,10080,CIB,564,CIB,25-34,to_inst,63.03088803,south,direct,0,13
45363,2019,cf,Male,nopre,type3,p4,l1,nopc,nob/c,336500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,0,EQUI,829,EXP,55-64,to_inst,,central,direct,1,
90496,2019,,Female,nopre,type1,p3,l1,nopc,nob/c,126500,4.625,0.8156,3550,360,not_neg,not_int,not_lpsm,188000,sb,pr,home,1U,2760,CRIF,809,CIB,55-64,to_inst,67.28723404,North,direct,0,36
61530,2019,ncf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,166500,4.99,0.9248,2922.5,360,not_neg,not_int,not_lpsm,248000,sb,pr,home,1U,2640,CIB,767,CIB,45-54,to_inst,67.13709677,south,direct,0,30
171313,2019,,Male,nopre,type1,p3,l1,nopc,nob/c,356500,,,,360,neg_amm,not_int,not_lpsm,568000,sb,ir,home,1U,10140,CIB,636,EXP,55-64,to_inst,62.76408451,North,direct,1,30
143385,2019,cf,Joint,nopre,type1,p1,l1,nopc,nob/c,266500,3.69,-0.0178,4550,360,not_neg,not_int,not_lpsm,338000,sb,pr,home,1U,21120,EXP,854,EXP,25-34,not_inst,78.84615385,North,direct,0,27
112466,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,406500,3.5,-0.0047,1250,360,not_neg,not_int,not_lpsm,458000,sb,pr,home,1U,6180,CIB,658,CIB,35-44,to_inst,88.75545852,North,direct,0,34
95832,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,686500,3.375,-0.334,500,360,not_neg,not_int,not_lpsm,858000,sb,pr,home,1U,8220,CRIF,578,CIB,35-44,not_inst,80.01165501,south,direct,0,39
65214,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,306500,4.375,0.1408,7936,360,not_neg,not_int,not_lpsm,378000,sb,pr,home,1U,5760,CIB,693,CIB,45-54,to_inst,81.08465608,south,direct,0,46
110727,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,126500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,3240,EQUI,808,EXP,>74,to_inst,,North,direct,1,
47906,2019,cf,Joint,nopre,type3,p4,l1,nopc,nob/c,516500,3.5,-0.5254,5150,360,not_neg,not_int,not_lpsm,518000,sb,pr,home,1U,,EXP,531,EXP,45-54,not_inst,99.71042471,North,direct,0,
120855,2019,cf,Male,nopre,type1,p2,l2,nopc,nob/c,136500,5.375,1.4339,2106.8,360,not_neg,not_int,not_lpsm,318000,sb,ir,home,1U,4500,EXP,632,CIB,65-74,not_inst,42.9245283,south,direct,0,36
66805,2019,cf,Female,pre,type1,p4,l1,nopc,nob/c,86500,,,,240,not_neg,not_int,not_lpsm,,sb,pr,home,1U,4680,EQUI,829,EXP,25-34,to_inst,,North,direct,1,
48059,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,426500,3.75,0.0413,0,360,not_neg,not_int,not_lpsm,908000,sb,pr,home,1U,17220,CRIF,609,EXP,45-54,not_inst,46.97136564,North,direct,0,41
64648,2019,cf,Male,nopre,type3,p3,l1,nopc,nob/c,336500,3.25,-0.318,4162.5,360,not_neg,not_int,not_lpsm,378000,sb,pr,home,1U,7140,CRIF,634,CIB,45-54,not_inst,89.02116402,North,direct,0,39
152620,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,126500,3.5,0.8703,3681.07,180,not_neg,not_int,not_lpsm,408000,sb,pr,home,1U,5220,CIB,753,EXP,>74,to_inst,31.00490196,North,direct,0,24
62348,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,416500,,,,360,not_neg,not_int,not_lpsm,608000,sb,pr,home,1U,9000,EXP,873,CIB,45-54,to_inst,68.50328947,south,direct,1,42
105406,2019,cf,Sex Not Available,nopre,type3,p4,l1,nopc,nob/c,226500,,,,360,not_neg,not_int,not_lpsm,218000,sb,pr,home,1U,,CIB,824,CIB,>74,to_inst,103.8990826,south,direct,1,
48046,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,206500,3.625,0.2837,4024.38,360,not_neg,not_int,not_lpsm,288000,sb,pr,home,1U,5460,EXP,534,CIB,65-74,to_inst,71.70138889,south,direct,0,45
44387,2019,cf,Sex Not Available,nopre,type3,p3,l1,nopc,nob/c,166500,3.75,1.4054,4145.48,180,not_neg,not_int,not_lpsm,168000,sb,pr,home,1U,3600,CIB,899,CIB,65-74,to_inst,99.10714286,south,direct,0,35
76445,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,366500,,,,360,not_neg,not_int,not_lpsm,,sb,ir,home,1U,21480,EQUI,653,EXP,25-34,not_inst,,North,direct,1,
137178,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,256500,3.99,0.4361,1047.5,240,not_neg,not_int,not_lpsm,958000,sb,pr,home,1U,3660,CIB,801,CIB,35-44,not_inst,26.77453027,south,direct,0,47
139829,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,156500,,,,360,neg_amm,not_int,not_lpsm,178000,sb,pr,home,1U,3000,EXP,886,CIB,45-54,to_inst,87.92134831,central,direct,1,37
142393,2019,cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,656500,4.99,1.3725,6207.84,360,not_neg,not_int,not_lpsm,818000,sb,pr,home,1U,9660,CIB,793,EXP,35-44,not_inst,80.25672372,south,direct,0,42
140558,2019,cf,Joint,nopre,type1,p1,l1,nopc,nob/c,286500,,,,360,not_neg,not_int,not_lpsm,,sb,sr,home,1U,9480,EQUI,579,EXP,65-74,not_inst,,North,direct,1,
94185,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,186500,,,,360,neg_amm,not_int,not_lpsm,338000,sb,pr,home,1U,2640,CRIF,569,CIB,65-74,to_inst,55.17751479,south,direct,1,48
128783,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,146500,4.625,0.4214,1330,360,neg_amm,not_int,not_lpsm,158000,sb,pr,home,1U,3300,CIB,835,CIB,25-34,not_inst,92.72151899,North,direct,0,35
51329,2019,cf,Male,nopre,type2,p1,l2,nopc,b/c,536500,4.5,1.047,1686.14,360,not_neg,not_int,not_lpsm,548000,sb,pr,home,1U,6120,EXP,569,CIB,25-34,not_inst,97.90145985,North,direct,0,53
38682,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,416500,4.18,0.2292,1782.16,360,not_neg,not_int,not_lpsm,438000,sb,pr,home,1U,9960,CRIF,714,CIB,25-34,not_inst,95.0913242,North,direct,0,31
113188,2019,cf,Sex Not Available,nopre,type2,p3,l1,nopc,b/c,296500,3.75,0.9528,8119.43,360,neg_amm,not_int,not_lpsm,368000,sb,pr,home,1U,3540,CRIF,698,EXP,>74,to_inst,80.57065217,south,direct,0,40
102111,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,566500,3.875,0.2702,6176.25,360,not_neg,not_int,not_lpsm,658000,sb,pr,home,1U,7320,CRIF,714,EXP,55-64,to_inst,86.09422492,North,direct,0,40
172399,2019,cf,Female,nopre,type1,p1,l1,nopc,nob/c,306500,4.18,-0.0867,380.05,360,not_neg,not_int,not_lpsm,368000,sb,pr,home,1U,4920,EXP,893,CIB,25-34,not_inst,83.28804348,North,direct,0,49
44136,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,326500,4.875,0.9115,1150,360,neg_amm,not_int,not_lpsm,358000,sb,pr,home,1U,8340,CIB,878,CIB,25-34,to_inst,91.20111732,south,direct,0,37
75391,2019,cf,Sex Not Available,nopre,type2,p1,l1,nopc,b/c,176500,,,,360,not_neg,not_int,not_lpsm,178000,sb,pr,home,1U,2880,CIB,756,CIB,<25,to_inst,99.15730337,south,direct,1,54
155483,2019,cf,Female,nopre,type1,p3,l2,nopc,nob/c,376500,4.18,-0.1207,2599.4,360,not_neg,not_int,not_lpsm,498000,sb,pr,home,1U,4920,CIB,804,CIB,55-64,not_inst,75.60240964,North,direct,0,45
171991,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,586500,3.375,-0.1729,9081.56,360,not_neg,not_int,not_lpsm,738000,sb,pr,home,1U,13020,EXP,875,EXP,45-54,not_inst,79.47154472,North,direct,0,47
81690,2019,cf,Joint,nopre,type1,p1,l1,nopc,nob/c,386500,4.5,0.092,1398,360,not_neg,not_int,not_lpsm,488000,sb,pr,home,1U,10800,CRIF,819,EXP,35-44,not_inst,79.20081967,North,direct,0,23
135713,2019,cf,Male,pre,type1,p4,l1,nopc,nob/c,206500,4.375,0.567,535.87,360,not_neg,not_int,not_lpsm,298000,sb,pr,home,1U,2040,CIB,878,CIB,65-74,not_inst,69.29530201,North,direct,0,42
87378,2019,cf,Male,pre,type1,p3,l1,nopc,nob/c,116500,4.25,1.4078,1825,240,not_neg,not_int,not_lpsm,168000,sb,pr,home,1U,3000,CRIF,696,CIB,35-44,to_inst,69.3452381,North,direct,0,38
101206,2019,cf,Male,nopre,type3,p4,l1,nopc,nob/c,466500,2.75,-0.8917,4618.4,360,not_neg,not_int,not_lpsm,478000,sb,pr,home,1U,,EXP,771,CIB,25-34,not_inst,97.59414226,south,direct,0,
160104,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,126500,,,,360,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,6300,EQUI,783,EXP,55-64,to_inst,,North,direct,1,
168221,2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,336500,3.99,0.3341,4558.81,360,not_neg,not_int,not_lpsm,478000,sb,pr,home,1U,4680,CRIF,643,EXP,>74,to_inst,70.39748954,North,direct,0,44
67494,2019,ncf,Male,nopre,type1,p3,l1,nopc,nob/c,206500,5,1.4382,5052,360,not_neg,not_int,not_lpsm,298000,sb,ir,home,1U,5640,CRIF,566,CIB,35-44,not_inst,69.29530201,south,direct,0,44
60012,2019,cf,Female,nopre,type2,p3,l1,nopc,b/c,136500,3.875,1.0488,1656.8,360,not_neg,not_int,not_lpsm,198000,sb,pr,home,1U,2340,EXP,806,CIB,55-64,to_inst,68.93939394,south,direct,0,49
87944,2019,cf,Sex Not Available,nopre,type3,p1,l1,nopc,nob/c,156500,,,,360,not_neg,not_int,not_lpsm,148000,sb,pr,home,1U,4020,CIB,781,EXP,55-64,to_inst,105.7432432,south,direct,1,33
120837,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,216500,3.99,0.5078,2868.5,360,not_neg,not_int,not_lpsm,308000,sb,pr,home,1U,3180,EXP,847,CIB,45-54,to_inst,70.29220779,south,direct,0,43
34830,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,246500,3.75,0.1425,4275.41,360,not_neg,int_only,not_lpsm,408000,sb,pr,home,1U,3840,CIB,624,CIB,35-44,to_inst,60.41666667,North,direct,0,36
116522,2019,cf,Sex Not Available,nopre,type3,p4,l1,nopc,nob/c,366500,3.25,-0.3213,0,360,not_neg,int_only,not_lpsm,478000,sb,pr,home,1U,,EXP,714,EXP,45-54,to_inst,76.67364017,south,direct,0,
36875,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,426500,3.625,0.1044,6538.75,360,not_neg,not_int,not_lpsm,508000,sb,pr,home,1U,8880,EXP,851,EXP,35-44,not_inst,83.95669291,North,direct,0,44
125756,2019,cf,Sex Not Available,pre,type1,p4,l1,nopc,nob/c,176500,3.875,0.4315,1470.09,360,not_neg,not_int,not_lpsm,198000,sb,pr,home,1U,3300,EXP,661,CIB,45-54,to_inst,89.14141414,south,direct,0,47
131485,2019,ncf,Sex Not Available,nopre,type2,p1,l1,nopc,b/c,116500,4,,,360,not_neg,not_int,not_lpsm,198000,sb,pr,home,1U,,EQUI,804,EXP,,NA,58.83838384,south,direct,1,
120472,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,106500,3.75,1.1454,4500,120,not_neg,not_int,not_lpsm,198000,sb,ir,home,1U,3360,CRIF,684,CIB,55-64,to_inst,53.78787879,south,direct,0,34
